#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   2.25209  1.21087 -0.00416  0.96125  0.004379  0.003556  0.000000     1.231
   2.29479  1.25357 -0.00402  0.96629  0.004189  0.003497  0.000000     1.198
   2.34485  1.30363 -0.00361  0.97085  0.004023  0.003445  0.000000     1.168
   2.40355  1.36232 -0.00284  0.97496  0.003880  0.003400  0.000000     1.141
   2.47237  1.43114 -0.00159  0.97863  0.003757  0.003360  0.000000     1.118
   2.55307  1.51182  0.00026  0.98190  0.003652  0.003325  0.000000     1.098
   2.64769  1.60640  0.00290  0.98479  0.003564  0.003295  0.000000     1.082
   2.75864  1.71729  0.00653  0.98731  0.003492  0.003269  0.000000     1.068
   2.88872  1.84728  0.01138  0.98950  0.003432  0.003247  0.000000     1.057
   3.04125  1.99967  0.01776  0.99149  0.003382  0.003227  0.000000     1.048
